Question_darija_processesd,Answer_darija_processesd,Category
سلام عليكم، شكرا على الاهتمام. أنا تصادف واحد الموتوسيكل من نهار لبارح و كاين واحد الخبطة فالجهة اليمينية ديال راس الدماغ، و كاين واحد الشقوقة فالدماغ. واش ممكن تقول لي واش هادشي خطير؟,الادعاء للقلق بدا كايخرج أشعة أخرى، وهاد الشي غادي يهدي هاد المشاكل.,Neurology
"عندي صداع هادي خمسة ولا ست أيام، وخاصني نركز غير على العين اليمنية حدا الحاجب، كيبان بحال إلا كاين نبضات ولا كيتحسن غير بشوية بهاد الدوا ديال ""دوليبراين"".",كايقتارح تدير اشعة بانوراما للجيوب الانفية باش نعرفو حالتك ونتاقدو العلاج,Neurology
واش الما ديال الموالح والما سخون كايخلي شي واحد يخرج على راسو؟ وشنو هوما الماكلة اللي مزيانة للناس اللي كيموتو؟,الموالخ والاستحمام ما عندهم حتى علاقة بنوبات التصلب اللويحى، وبالنسبة للاكل كينصحو بالماكلة لي فيها أوميغا 3 بحال الحوت والسلمون والزوجة والتونة، وزيد عليها الماكلة لي كتنشط جهاز المناعة,Neurology
السلام عليكم، دكتور. أمي عندها مرض الصرع هادي شي أيام، ولكن ماخدات حتى دوا. واش ممكن تعطيها شي دوا بلا وصفة طبية، حيت المرض باقي فالبداية؟,إلا كان تشخيص الحالة ديال لمريض قليل، خاصو يبدا العلاج دابا,Neurology
واش مريض الصرع يقدر ياخد شي نوع من لقاح كورونا؟ وواش كايتعارض مع أدوية أخرى، حيت الأدوية اللي مكتوبة هي: antagra/levetiacetam 2 ف 2، Tegretol CR 400 ف 1.5 ف 2، و Phenobarbitone 60mg ف 2 ف 2؟,لقاح كورونا ماكايتعارض مع حتى دوا من هادوك لي تذكرو، داكشي علاش كاينصحو بيه,Neurology
أنا ملاك، ماشي بنادم. من دوخة قاصح طاح. شنو غادي ندير؟,كنصحك بقياس ضغط الدم و نديرو ليك اشعة الراديو ديال الراس و نرسمو ليك صورة ديال الراس و نقدمو ليك النتائج ديال الاستشارات ديالك فهاد الموقع باش نعرفو شنو هو العلاج المناسب.,Neurology
عندي الصداع بزاف فالراس، وحيانا حتى فالرقبة ديالي والظهر، وكنحس بلي راسي مشى. ماقادرش نحرك راسي.,كايقترح يقيس ليه ضغط الدم ويدير راديو الأشعة السينية للراس ويرسم راسو بالكمبيوتر باش يعطينا النتائج باش يقيم حالتو ويوصف العلاج اللي خاصو.,Neurology
مرحبا، ممكن تعطينا تفاصيل تقرير الرنين المغناطيسي ديال الراس؟ راه كاين شي سبب علاش الرنين طول الوقت ديال النعاس و ما قدرش يركز و ما قدرش يسد وذنيه؟,كاين واحد لڤيرسيون قديمة ديال هاد لورقا لي كاتقترح باش تدير واحد لورقا خاصا ف ل پيسّي ديالك وتعطينا النتائج ديالها باش نعرفو شحال راسك وشنو خاصك دير.,Neurology
كنت كانجي عليا الضغط بزاف، مشيت عند طبيب الأعصاب ديالي، قال ليا عندي نشاط زايد فالدماغ و عطاني شي دوا,خاصك تبقى كتتبع مع طبيب الأعصاب، و تدير تحاليل ديال مستوى الدوا فالدم بعد شهر، و من بعد كل تلات شهور، و تخطيط للمخ كل ست شهور.,Neurology
كانحس بالدوخة كأنني كنعوم وكنغلب على راسي، عيني كيتقلبو، وراسي كيوجعني بزاف، والسبب ماعارفش,مزيان تشوف شي طبيب ديال الأعصاب، راه خاصك تقول ليه شحال هادي ونتا كتحس هاد الشي، يمكن خاصك تشوف واش ضغط الدم ديالك مزيان ولا لا، ولا تشوف شي طبيب ديال الدماغ، ولا تنعس مزيان.,Neurology
"أنا شاب مغربي أصبت بشلل أكثر من نصفي بسبب إلتهاب في النخاع الشوكي سببه لي داء السل.
فهل كاين شي علاج ل إلتهاب النخاع الشوكي؟
فجزاك الله خيرا.",كانقتارح تشوف شي طبيب ديال لعقل باش تشوف واش كاين شي حاجة خطيرة وخاصك تاخد شي دوا ديال لعضم,Neurology
باباه خرج من السبيطار سالم، ولكن راه فاقد التركيز والذاكرة. راه تابع مع واحد الطبيب ديال الدماغ وراه كيعطيوه دوا ديال العصبية وكيشرب ليه شي حاجة سميتها غليكوز كل نهار. واش خاصو يصوم ولا ياخد هاد الدوا؟,كيتنصح بعدم الصيام والانتظار حتى يتشافي إن شاء الله,Neurology
شنو هي الفائدة من العلاج بالوخز بالابر للضفيرة العصبية دليد يمين، بسبب الطيحة من شاحنة متوسطة على الكتف اللي أدى للشلل فيليد يمين؟,ماعندو حتى فايدة، يمكن ليك تستافد من العلاج الطبيعي فالشهور اللولين تلت شهور,Neurology
واش هاد الشي لي كاين ليا فخدية إيسرى فارجاء لبلاد هو تنميل؟ شنو السبب؟ شكرا,خاصنا نديرو فحصات فالمختبرات ديال السكر، والغذاء، والملوثات، حيت المرضى اللي كيتعذبو يمكن يكون عندهم مرض الأعصاب,Neurology
الما بارد عليا وكيضرب فيا بحال شي شارجور,التحاليل ديال الدم كيبينو بلي الراجل عندو فقر الدم، ولكن راه غير بسيط. خاصو يدير تحاليل اخرى، خاصة الاملاح والفيتامينات، وخاصو يتدار ليه تخطيط القلب و صورة الصدر.,Neurology
عندي ولد عندو خمس سنين كايقول ليا عندو صداع ف راسو و ف رجليه فنفس لوقت. واش هادشي كايعني شي حاجة خطيرة ف راسو ولا غير صداع عادي؟,حاجة مزيانا تديرها هي تمشي لطبيب الأطفال، راه خاصو يدير ليك فحص طبي كامل و يمكن يكون خاصو يتبعك لراديو ديال الراس.,Neurology
عندي لعصبية بزاف وكنت خاصني ندير الدوا فورا. درت ماساج للرجلين جوج مرات فالنهار. ولكن مازال ما تعاليتش للطبيب. واش كاين شي أمل باش نحسن؟,مازال كاين أمل باش نحسنو راسنا بالمعالجة الطبيعية,Neurology
كان عندي واحد السخانة بدات من ضهري، ونترات لكتافي، وخلاتني نحس بشي حاجة خفيفة كتدوز فالجسم ديالي، بحال شي حرقة، وحتى ففمي واليدين ديالي.,أحسن حاجا هي نتجرو أشعة рентج باش نعرفو شنو كاين,Neurology
واش كاين شي واحد عندو دوخة، و الراس كايضر، و القي و الغثيان، و الوجع ف الاذن و الضغط طايح؟ واش هادشي ديال فقر الدم ولا التهاب الاذن الوسطى ولا شي مرض آخر؟,كاين احتمال يكون عندك التهاب فالودن و التهاب عصبي فالراس,Neurology
واش كاين شي طبيب عندك؟ راجلي مصاب بمرض الصرع وخاصو ياخد 4 دوايات ولكن كيتكررو ليه النوبات ديال الصرع بفترات قصيرة بين الحين والاخر وكيصراخ بزاف. واش هادشي ممكن يقتل راجلي مفاجئ؟,خاصك تمشي عند شي طبيب اعصاب دابا ولا تدخل لشي سبيطار دابا,Neurology
واحد الشخص مصاب بالصرع جا عندو نوبة صرع دامت ساعة ونص وهو مصاب بالصرع هادي 14 عام وهادي ماشي المرة اللولة لي كيديرها,خاصك تشوف شي طبيب ديال الأعصاب وهادشي مهم بزاف، يمكن خاصك تفكر فالعلاج وشنو هوما الخطوات اللي خاصك تدير وكيفاش تاخد الدوا,Neurology
